作者,名称,类型,进度,字数,发表时间,作品视角,所属系列,版权转化,签约状态,非v章节章均点击数,总书评数,当前被收藏数,文章积分,内容标签,评分,评价人数,五星比例,四星比例,三星比例,二星比例,一星比例
一寸舟,雁来月,原创-言情-近代现代-爱情,完结,488988,2025-04-27 13:39:05,女主,end,中国大陆出版最新签约,已签约,63344,17231,62746,"1,010,735,552","豪门世家,情有独钟,天之骄子,业界精英,甜文,成长",9.9,209,95%,4%,0%,0%,0%
这碗粥,逢青,原创-言情-近代现代-爱情,完结,250343,2016-12-14 16:00:00,女主,山上有座庙,"中国大陆出版最新签约,影视签约,游戏签约,亚洲出版签约",已签约,403021,62737,140029,"1,568,697,600","都市,花季雨季,正剧",9.3,440,75%,20%,4%,1%,1%
这碗粥,采红,原创-言情-近代现代-爱情,完结,221351,2023-02-10 10:20:08,女主,山上有座庙,"中国大陆出版最新签约,亚洲出版签约",已签约,121871,4378,55656,"615,286,464","田园,青梅竹马,正剧",9.2,12,67%,25%,8%,0%,0%
谦禾,今天，风也晴朗,原创-言情-近代现代-爱情,完结,143250,2025-05-10 12:41:01,女主,杨柳新晴（云溪系列二部曲）,中国大陆出版最新签约,已签约,2505,288,2131,"21,011,552","情有独钟,因缘邂逅,轻松,治愈,公路文",9.5,22,77%,23%,0%,0%,0%
君子生,我是限制文的女配,原创-言情-架空历史-爱情,完结,720729,2025-09-17 11:22:21,女主,已完结出炉的甜宠文,中国大陆出版最新签约,已签约,379886,245498,383920,"6,590,997,504","情有独钟,天作之合,女配,甜文,穿书,成长",9.5,1339,84%,12%,2%,1%,1%
狂上加狂,错世,原创-言情-架空历史-仙侠,完结,633126,2022-06-23 13:35:48,女主,奇幻言情,"亚洲出版签约,电视剧签约,网络剧签约,中国大陆出版最新签约",已签约,73250,15039,50620,"762,852,480","欢喜冤家,穿越时空,仙侠修真,甜文,正剧",8.9,232,57%,33%,9%,1%,0%
林绵绵,重回老板年少时,原创-言情-近代现代-爱情,完结,383597,2025-06-13 12:15:43,女主,更新中= =,中国大陆出版最新签约,已签约,261097,155572,207546,"3,716,568,576","重生,甜文,校园,轻松",9.7,1670,89%,10%,1%,0%,0%
品丰,情况有变,原创-言情-近代现代-剧情,完结,149141,2025-03-02 23:39:47,女主,无从属系列,中国大陆出版最新签约,已签约,11363,3081,9161,"129,363,240","都市,重生,正剧,日常,群像",9.6,128,80%,19%,2%,0%,0%
桃吱吱吱,无尽夏,原创-言情-近代现代-爱情,完结,138926,2025-05-30 20:14:24,女主,春夏秋冬,中国大陆出版最新签约,已签约,1064,1202,1745,"51,497,172","花季雨季,情有独钟,天之骄子,校园,暗恋,BE",9.9,19,95%,5%,0%,0%,0%
柚贝,春分十一年,原创-言情-近代现代-爱情,完结,243267,2025-01-30 16:53:48,女主,冬秋夏春,中国大陆出版最新签约,已签约,7487,797,7242,"111,716,048","都市,情有独钟,天之骄子,业界精英,正剧",9.1,11,64%,27%,9%,0%,0%
于元,亲错男友后被又争又抢,原创-言情-近代现代-爱情,完结,121770,2025-08-15 18:19:23,女主,cherry cone,中国大陆出版最新签约,已签约,10842,1957,10820,"89,784,296","甜文,校园,轻松,治愈,吃货,追爱火葬场",9.1,118,58%,38%,3%,1%,0%
在逃白桃,全世界都知道她是卧底,原创-言情-近代现代-爱情,完结,380704,2025-04-13 13:09:02,女主,正在写,中国大陆出版最新签约,已签约,42849,5235,18663,"188,381,952","欢喜冤家,业界精英,相爱相杀,甜文,正剧",9.7,6,83%,17%,0%,0%,0%
今様,别太野,原创-言情-近代现代-爱情,完结,375661,2025-05-21 11:01:41,女主,霓虹遐想,中国大陆出版最新签约,已签约,54342,6889,51872,"888,696,512","天之骄子,业界精英,励志,甜文,时代新风,轻松",9.6,153,82%,16%,1%,0%,0%
深碧色,折竹碎玉,原创-言情-架空历史-爱情,完结,538029,2024-06-28 11:48:05,女主,已完结 之 裙下臣,中国大陆出版最新签约,已签约,162744,14129,199093,"2,374,586,624","宫廷侯爵,情有独钟,正剧,钓系,高岭之花",9.4,285,77%,19%,4%,0%,0%
曲小蛐,别哭,原创-言情-近代现代-爱情,完结,398962,2020-05-03 15:24:55,女主,现言-青葱校园 之 AI机器人,"繁体出版(港/台)签约,中国大陆出版最新签约,漫画签约,动态漫画签约,广播剧签约,欧美出版签约",已签约,661286,100723,486220,"7,225,651,712","天之骄子,时代新风,正剧",9.4,2249,75%,19%,5%,1%,0%
希昀,荣婚（重生）,原创-言情-古色古香-爱情,完结,677717,2024-10-28 18:07:35,女主,完结二,中国大陆出版最新签约,已签约,143342,35085,101161,"1,189,417,984","情有独钟,天作之合,重生,甜文,爽文,先婚后爱",8.9,90,62%,24%,10%,1%,2%
白日梦羊,前男友总偷看我小号,原创-言情-近代现代-爱情,完结,435591,2025-05-27 21:34:55,女主,已完结 之 现言,中国大陆出版最新签约,已签约,144156,25779,146238,"1,257,496,576","年下,豪门世家,破镜重圆,校园,傲娇,追爱火葬场",9.2,507,70%,24%,4%,2%,0%
红酒杯里装狗血,攀云,原创-言情-近代现代-爱情,完结,292786,2019-07-31 00:34:32,不明,已填,中国大陆出版最新签约,已签约,22277,2905,10656,"129,307,248","都市,花季雨季,情有独钟,重生,轻松",9.6,56,82%,18%,0%,0%,0%
小鬼儿,杀熟,原创-言情-近代现代-爱情,完结,360585,2024-02-17 22:56:46,女主,完结,中国大陆出版最新签约,已签约,3419,299,2069,"25,664,744","都市,情有独钟,天作之合,甜文,成长,忠犬",9.4,13,77%,15%,8%,0%,0%
